#Number of repeats by family before and after curation
#=============================================================
#repeat family	class	no. before overlap resolving	no. after
1	463	7	0
TAR1#Satellite/telomeric	(399)	1	1
L1ME3G_3end#LINE/L1	(510)	1	0
L1MC5a_3end#LINE/L1	(2382)	1	1
MER5B#DNA/hAT-Charlie	(74)	1	1
MIR#SINE/MIR	(119)	4	3
MIR3#SINE/MIR	(65)	1	1
Charlie15a#DNA/hAT-Charlie	(101)	1	1
33	195	1	0
2680	3129	1	0
2802	2947	1	0
15	142	1	0
MIRb#SINE/MIR	(6)	2	1
31	303	2	0
46	271	1	0
49	260	1	0
304	477	1	0
371	544	1	0
359	516	1	0
102	141	1	0
116	161	1	0
L2c_3end#LINE/L2	(14)	2	1
34	121	1	0
630	928	1	0
MER53#DNA/hAT	(0)	1	1
