#Number of repeats by class before and after curation
#=============================================================
#repeat class	no. before overlap resolving	no. after
DNA/Academ	4	4
DNA	1449	1326
LTR/Gypsy	56	46
Unknown	1104	906
LTR/Ngaro	9	8
LINE/RTE-X	12	11
RC/Helitron	313	257
LTR/DIRS	3	3
DNA/hAT-Tip100	201	186
DNA/PIF-Harbinger	306	279
DNA/Kolobok-T2	386	368
DNA/hAT-Ac	1	1
DNA/TcMar-Tc2	141	136
LINE/L2	35	33
DNA/PiggyBac	63	58
DNA/hAT	20	19
LINE/Penelope	108	97
LINE/I-Jockey	6	6
DNA/MULE-MuDR	30	26
DNA/Sola-3	17	12
DNA/TcMar-Tigger	12	11
LTR	19	15
DNA/hAT-hAT5	82	80
SINE/tRNA-L2	26	26
SINE/tRNA-Deu-L2	30	29
SINE?	2	0
LINE/Rex-Babar	12	11
Satellite	63	60
SINE/tRNA-Deu	45	38
snRNA	1	1
DNA/TcMar-Pogo	25	24
DNA/Academ-1	31	28
DNA/hAT-Blackjack	31	27
DNA/hAT-hAT1	8	6
DNA/Ginger	4	4
LINE/CRE	1	1
DNA/Crypton-H	23	17
DNA/MULE-F	7	7
DNA/CMC-EnSpm	32	28
LTR/Copia	12	12
SINE/tRNA-V	16	16
LINE/CR1	25	23
DNA/Academ-2	52	42
DNA/Kolobok-Hydra	4	2
DNA/Kolobok	14	9
LTR/Pao	7	5
LINE	3	3
DNA/PIF-ISL2EU	3	1
DNA/Sola	17	13
LINE/RTE-BovB	12	11
LINE/L1-Tx1	4	4
rRNA	8	5
DNA/hAT-hAT6	10	9
DNA/TcMar-ISRm11	9	8
DNA/Crypton-A	1	1
DNA/Maverick	25	24
DNA/MULE-NOF	3	2
DNA/Crypton	2	2
SINE/tRNA-Rex	1	1
DNA/CMC-Chapaev	1	1
total	4947	5072
