#Number of repeats by family before and after curation
#=============================================================
#repeat family	class	no. before overlap resolving	no. after
rnd-5_family-1942	DNA/Academ	4	2
rnd-5_family-4040	DNA	5	5
rnd-1_family-1118	DNA	9	3
rnd-1_family-903	DNA	5	2
rnd-6_family-1511	LTR/Gypsy	1	0
rnd-1_family-368	Unknown	6	1
rnd-5_family-4275	Unknown	8	5
rnd-5_family-2493	LTR/Gypsy	5	2
rnd-5_family-113	LTR/Ngaro	1	1
rnd-6_family-3815	LTR/Ngaro	2	1
rnd-5_family-662	Unknown	2	1
rnd-1_family-631	LINE/RTE-X	3	2
rnd-1_family-735	LINE/RTE-X	1	1
rnd-1_family-298	RC/Helitron	16	13
rnd-1_family-102	DNA	5	1
rnd-6_family-504	DNA	21	12
rnd-5_family-176	Unknown	2	2
rnd-5_family-476	DNA	5	2
rnd-6_family-2240	DNA	10	10
rnd-5_family-2038	DNA	6	4
rnd-6_family-882	LTR/Gypsy	1	1
rnd-1_family-68	DNA	16	14
rnd-4_family-718	DNA	4	2
rnd-5_family-463	Unknown	5	1
rnd-1_family-555	DNA	2	0
rnd-1_family-132	DNA	6	6
rnd-5_family-1265	RC/Helitron	8	5
rnd-1_family-1089	RC/Helitron	5	5
rnd-4_family-1648	LTR/DIRS	1	1
rnd-5_family-4795	DNA	17	5
rnd-1_family-246	DNA	14	13
rnd-4_family-707	DNA	5	4
rnd-1_family-219	DNA	16	10
rnd-4_family-309	DNA/hAT-Tip100	4	0
rnd-1_family-241	DNA/PIF-Harbinger	5	5
rnd-1_family-15	DNA/Kolobok-T2	44	42
rnd-5_family-704	DNA/hAT-Ac	1	1
rnd-1_family-121	DNA	12	10
rnd-3_family-1253	DNA/Kolobok-T2	15	14
rnd-1_family-1039	DNA	3	3
rnd-1_family-832	DNA/Kolobok-T2	2	2
rnd-1_family-400	DNA/Kolobok-T2	4	3
rnd-6_family-13	DNA	3	2
rnd-1_family-748	DNA/TcMar-Tc2	3	0
rnd-4_family-902	DNA/TcMar-Tc2	3	3
rnd-6_family-561	LINE/L2	3	0
rnd-3_family-2	DNA/PiggyBac	15	15
rnd-1_family-107	DNA/hAT-Tip100	23	18
rnd-1_family-463	Unknown	7	0
rnd-1_family-570	Unknown	3	0
rnd-5_family-3976	Unknown	2	2
rnd-1_family-352	DNA/hAT	9	9
rnd-1_family-238	DNA	15	13
rnd-1_family-408	DNA	4	4
rnd-1_family-436	DNA	5	4
rnd-6_family-1404	DNA	15	14
rnd-5_family-3	DNA/Kolobok-T2	6	4
rnd-4_family-1444	DNA	11	9
rnd-4_family-205	LINE/Penelope	22	16
rnd-1_family-1103	Unknown	2	0
rnd-1_family-1109	Unknown	4	3
rnd-5_family-1204	Unknown	4	3
rnd-1_family-1219	Unknown	4	0
rnd-1_family-253	DNA/Kolobok-T2	2	2
rnd-1_family-412	RC/Helitron	5	3
rnd-1_family-671	RC/Helitron	3	0
rnd-1_family-139	DNA	24	22
rnd-1_family-167	DNA/hAT-Tip100	18	10
rnd-5_family-764	Unknown	1	1
rnd-6_family-1695	DNA	3	0
rnd-1_family-46	DNA/Kolobok-T2	7	5
rnd-5_family-903	LINE/I-Jockey	6	5
rnd-5_family-253	DNA/PIF-Harbinger	18	14
rnd-5_family-324	Unknown	2	1
rnd-4_family-603	DNA	9	6
rnd-1_family-496	Unknown	6	4
rnd-1_family-292	DNA/TcMar-Tc2	10	9
rnd-1_family-306	DNA/TcMar-Tc2	8	7
rnd-1_family-338	DNA/TcMar-Tc2	5	3
rnd-4_family-173	DNA	3	1
rnd-1_family-53	LINE/Penelope	11	6
rnd-1_family-294	Unknown	5	4
rnd-1_family-606	DNA/Kolobok-T2	3	3
rnd-1_family-406	DNA/Kolobok-T2	9	4
rnd-5_family-917	Unknown	6	3
rnd-6_family-107	Unknown	2	1
rnd-5_family-1476	DNA	24	19
rnd-1_family-955	Unknown	1	1
rnd-1_family-1058	Unknown	1	1
rnd-1_family-91	DNA	9	7
rnd-1_family-509	DNA/MULE-MuDR	4	2
rnd-6_family-2604	DNA	1	0
rnd-6_family-4041	Unknown	1	0
rnd-1_family-373	DNA/Sola-3	3	1
rnd-6_family-1427	Unknown	2	1
rnd-1_family-1087	Unknown	1	0
rnd-5_family-822	LTR/Gypsy	1	1
rnd-1_family-240	RC/Helitron	4	1
rnd-6_family-177	Unknown	1	1
rnd-5_family-402	Unknown	2	2
rnd-1_family-594	Unknown	2	2
rnd-1_family-986	RC/Helitron	4	3
rnd-5_family-1627	LTR/Gypsy	2	2
rnd-6_family-4209	LTR/Gypsy	2	2
rnd-5_family-4098	RC/Helitron	9	5
rnd-5_family-225	DNA/MULE-MuDR	9	6
rnd-4_family-838	DNA/MULE-MuDR	8	2
rnd-1_family-468	RC/Helitron	4	3
rnd-6_family-805	RC/Helitron	9	5
