#Number of repeats by family before and after curation
#=============================================================
#repeat fam	class	no. before curation	no. after curation
(TAACCC)n	Simple_repeat	1	0
TAR1	Satellite/telomeric	1	0
L1ME3G_3end	LINE/L1	1	0
L1MC5a_3end	LINE/L1	1	0
MER5B	DNA/hAT-Charlie	1	0
MIR	SINE/MIR	6	0
MIR3	SINE/MIR	1	0
(TGCTCC)n	Simple_repeat	1	0
Charlie15a	DNA/hAT-Charlie	1	0
(TGG)n	Simple_repeat	1	0
L2a_3end	LINE/L2	2	0
L3	LINE/CR1	1	0
Plat_L3	LINE/CR1	1	0
MLT1K	LTR/ERVL-MaLR	1	0
MIRb	SINE/MIR	2	0
L2c_3end	LINE/L2	5	0
L2b_3end	LINE/L2	1	0
L2d2_3end	LINE/L2	1	0
MIR1_Amn	SINE/MIR	1	0
AluSp	SINE/Alu	1	0
MER3	DNA/hAT-Charlie	1	0
MER33	DNA/hAT-Charlie	1	0
(ACGCCC)n	Simple_repeat	1	0
L1MB3_3end	LINE/L1	1	0
MER53	DNA/hAT	1	0
MLT1A	LTR/ERVL-MaLR	1	0
